,Country,Closeness,Betweeness,Eigenvector
88,NGA,0.4923955497692034,0.0007218611889060875,0.08239216747518961
89,NIC,0.39954381752701074,0.00018109202953134305,0.06169623480281672
90,NLD,0.5337417409711976,0.00675794261578735,0.08876357051414663
91,NOR,0.5066678845451223,0.002500712953639032,0.08461370484960506
92,NZL,0.5030227918505531,0.003007422070478516,0.08381958590178437
93,OAS,0.5141188828472565,0.0032211837165563822,0.08559099611781139
94,PAK,0.4889522242463418,0.0017871298177010858,0.0816047388838786
95,PER,0.45402706537160314,0.0012247478884833214,0.07544964815325712
96,PHL,0.4923955497692034,0.0026032830162245513,0.08233916133802598
97,POL,0.49588771678884314,0.00323694369436053,0.0835169331304104
98,PRT,0.49588771678884314,0.003288745078959697,0.08343644628360289
99,PRY,0.41372880513152005,0.00024631505679401593,0.06579940480197384
100,QAT,0.4630474706438867,0.0006715724917936899,0.07710489183251469
101,ROM,0.46000110570544006,0.0015826373426474664,0.0773094457766245
102,RUS,0.4923955497692034,0.0017062591545680887,0.08231919713445365
103,RWA,0.41619147659063627,0.00023882551856819288,0.06623278089922227
104,SAU,0.4855567226890756,0.0013654202748689661,0.08112885655798145
105,SEN,0.4482062055591467,0.0006500318614747218,0.07428214510269415
106,SER,0.43428675818153345,0.0007003642965085716,0.0702837616627124
107,SGP,0.5030227918505531,0.0031495590181316304,0.08405706781280609
108,SLV,0.38844537815126046,0.00019108602574757744,0.058306540952913634
109,STP,0.3345462586948655,1.531422078241584e-05,0.03792927096327175
110,SUR,0.4065126050420168,0.00019464767983190377,0.06332777777512881
111,SVK,0.4482062055591467,0.0014888637867475785,0.07421273905620708
112,SVN,0.43974948469954017,0.001655415452726791,0.0727147555757904
113,SWE,0.4855567226890756,0.0028102508566607218,0.0816308060378895
114,SWZ,0.3841767476221258,0.0002049431948391179,0.05624391615483335
115,SYC,0.40184004636337295,0.00013825918038713595,0.06186703609985881
116,TGO,0.4263424882147981,0.00027702991032202927,0.06946826237727763
117,THA,0.510366190271729,0.004562509266986818,0.08505220250563822
118,TUN,0.44535138896322857,0.0007554385140131012,0.07371160112924316
119,TUR,0.510366190271729,0.003859650734268995,0.08531114707915784
120,URY,0.42895808630200544,0.0008624240349354306,0.06966953047339812
121,USA,0.5378474466709761,0.005573513902299659,0.08876357051420289
122,UZB,0.39280993296194877,6.779843441218724e-05,0.059812575586155305
123,VCT,0.38207742113238735,0.0002298097621403539,0.055507746899140294
124,VNM,0.5066678845451223,0.0004410032207990815,0.08461534514036528
125,WSM,0.33137520411008003,0.00010537756882084324,0.03644339031798882
126,YEM,0.39954381752701074,1.0604588276389648e-05,0.061860276111741525
127,ZAF,0.5030227918505531,0.00399153115281043,0.08403388794707206
128,ZMB,0.41868364112111905,0.0003470346708902574,0.06649960620670112
129,ZWE,0.41372880513152005,0.00015673850685961682,0.06522334373227179
